"File maskSR-SAG-bytes-example.bin, size: 11534336 bytes"
"Theoretical frequency: 45056"
"Real frequency of byte values (times from 11534336):"
"Value";"Frequency"
0;45002
1;45117
2;44986
3;45111
4;44939
5;45030
6;45110
7;44917
8;44834
9;44928
10;45358
11;44987
12;45065
13;44869
14;44792
15;45067
16;44831
17;45198
18;44674
19;45108
20;45082
21;45157
22;45297
23;44958
24;45324
25;45005
26;44686
27;45129
28;45187
29;44815
30;44828
31;44601
32;45513
33;45262
34;44687
35;44955
36;44715
37;45113
38;45269
39;45120
40;44902
41;45185
42;44912
43;45111
44;44794
45;45076
46;45101
47;44989
48;44928
49;45097
50;45270
51;45020
52;44729
53;45297
54;45150
55;44972
56;45347
57;45334
58;44857
59;44990
60;45141
61;45627
62;44751
63;45121
64;45144
65;45178
66;45343
67;44939
68;44999
69;45133
70;45064
71;45269
72;44965
73;44723
74;44988
75;45057
76;45242
77;45296
78;44982
79;45250
80;45151
81;45018
82;44970
83;45270
84;44981
85;45262
86;44667
87;44891
88;45134
89;44797
90;45062
91;44725
92;45268
93;45055
94;45045
95;44752
96;45239
97;44870
98;45206
99;45142
100;44940
101;44901
102;45358
103;45011
104;44810
105;45080
106;45243
107;45073
108;45222
109;45418
110;45179
111;44933
112;44968
113;45233
114;45159
115;45367
116;44886
117;45268
118;45164
119;44740
120;45162
121;44694
122;45185
123;45535
124;45080
125;44997
126;45040
127;44976
128;45228
129;44964
130;45262
131;44358
132;45097
133;45344
134;44664
135;45230
136;45460
137;44810
138;45088
139;45006
140;45048
141;45227
142;45171
143;44700
144;45103
145;45212
146;45011
147;45066
148;44841
149;44768
150;45027
151;44899
152;45444
153;45175
154;45251
155;44874
156;45202
157;45239
158;45514
159;45082
160;45036
161;45028
162;45208
163;45008
164;44969
165;45249
166;44928
167;45045
168;44580
169;45029
170;45177
171;44874
172;44841
173;45380
174;44869
175;44963
176;44896
177;45255
178;45264
179;44732
180;44976
181;45204
182;45222
183;45073
184;45170
185;44983
186;45320
187;44968
188;45121
189;44978
190;45502
191;45058
192;44893
193;45359
194;45278
195;45076
196;45093
197;45032
198;44944
199;45298
200;45224
201;44846
202;44521
203;45032
204;45012
205;45378
206;44900
207;45128
208;44682
209;44923
210;45040
211;45083
212;45360
213;44795
214;44800
215;44856
216;44910
217;44908
218;45369
219;44633
220;44830
221;44997
222;45208
223;45045
224;45250
225;44952
226;44836
227;45222
228;45543
229;45138
230;44907
231;45238
232;44835
233;45220
234;45146
235;44806
236;44839
237;44768
238;45193
239;44839
240;45416
241;44948
242;45091
243;45000
244;44914
245;45071
246;44701
247;45160
248;45137
249;44997
250;45462
251;45035
252;45158
253;45322
254;45088
255;45354
"Pearson's chi-squared, chisq.test(allFreq[,'Frequency']): "
"245.594948508523"
"Pearson's chi-squared critical, qchisq(p = 0.95, df = 255): "
"293.247835080701"
